Generation,Fitness function uses,Best fitness,Average fitness,Median fitness,Worst Fitness,Population size,Std Population,Predicted class 1,Probability 1,Predicted class 2,Probability 2,Predicted class 3,Probability 3,Predicted class 4,Probability 4,Predicted class 5,Probability 5,crossover_function,selection_function,tournament_size,mutation_function,mutation_rate,mutation_variance
1001,10020,1.034422755241394,1.0212452411651611,1.0235990285873413,1.00493586063385,10,18.98592054757966,tiger_cat,0.13364525139331818,red_fox,0.09924238920211792,grey_fox,0.07482879608869553,lynx,0.020229145884513855,Egyptian_cat,0.015957117080688477,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6
1002,10030,1.0412709712982178,1.022049903869629,1.0275877714157104,1.002743124961853,10,20.01614286025867,tiger_cat,0.13871879875659943,red_fox,0.09748099744319916,grey_fox,0.07267502695322037,lynx,0.020015409216284752,Egyptian_cat,0.017461353912949562,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6
1003,10040,1.0489152669906616,1.0242935419082642,1.0249098539352417,1.0097832679748535,10,20.42252725516488,tiger_cat,0.13964605331420898,red_fox,0.09074972569942474,grey_fox,0.07359650731086731,lynx,0.019685329869389534,Egyptian_cat,0.016741279512643814,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6
1004,10050,1.0458736419677734,1.0262236595153809,1.024519681930542,1.0004956722259521,10,21.906053574774322,tiger_cat,0.13755854964256287,red_fox,0.09168505668640137,grey_fox,0.06889156252145767,lynx,0.02020890824496746,Egyptian_cat,0.016963636502623558,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6
1005,10060,1.0441595315933228,1.0312774181365967,1.0340832471847534,1.0134952068328857,10,21.256297947591438,tiger_cat,0.13744227588176727,red_fox,0.09334756433963776,grey_fox,0.0721074789762497,lynx,0.02041304111480713,Egyptian_cat,0.016945336014032364,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6
1006,10070,1.0549143552780151,1.0254359245300293,1.0258667469024658,1.0016813278198242,10,20.288892970577475,tiger_cat,0.1434427946805954,red_fox,0.0886196494102478,grey_fox,0.06955826282501221,lynx,0.020847158506512642,Egyptian_cat,0.017420165240764618,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6
1007,10080,1.0461723804473877,1.0270791053771973,1.0266284942626953,1.0072791576385498,10,17.177085956945543,tiger_cat,0.1384623646736145,red_fox,0.09224909543991089,grey_fox,0.06445394456386566,lynx,0.020941533148288727,Egyptian_cat,0.01693713106215,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6
1008,10090,1.0502279996871948,1.0261452198028564,1.026888132095337,1.0081368684768677,10,19.44914228433496,tiger_cat,0.1429571509361267,red_fox,0.09273195266723633,grey_fox,0.06623656302690506,lynx,0.020337581634521484,Egyptian_cat,0.01565380208194256,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6
1009,10100,1.0499539375305176,1.033259630203247,1.035571575164795,1.011979103088379,10,19.01010574607326,tiger_cat,0.14698362350463867,red_fox,0.09702741354703903,grey_fox,0.06315392255783081,lynx,0.020113565027713776,Egyptian_cat,0.01617317833006382,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6
1010,10110,1.0478134155273438,1.0306700468063354,1.0320675373077393,1.0098661184310913,10,18.733916056087274,tiger_cat,0.14699581265449524,red_fox,0.09920202195644379,grey_fox,0.06297767162322998,lynx,0.018002839758992195,Egyptian_cat,0.016492826864123344,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6
1011,10120,1.0571784973144531,1.034926176071167,1.0353621244430542,1.0156447887420654,10,17.998492239589204,tiger_cat,0.15400587022304535,red_fox,0.09679737687110901,grey_fox,0.06413555145263672,lynx,0.01940758153796196,Egyptian_cat,0.017309747636318207,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6
1012,10130,1.0595120191574097,1.0337204933166504,1.0410609245300293,1.0005011558532715,10,16.341988293840554,tiger_cat,0.1521357297897339,red_fox,0.09259922057390213,grey_fox,0.06442587822675705,lynx,0.019539499655365944,Egyptian_cat,0.01737174391746521,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6
1013,10140,1.0705230236053467,1.044507384300232,1.0430841445922852,1.0323797464370728,10,15.134183296852783,tiger_cat,0.16083556413650513,red_fox,0.09030260890722275,grey_fox,0.06465383619070053,lynx,0.01961284503340721,tabby,0.01723990961909294,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6
1014,10150,1.0805778503417969,1.048809289932251,1.0486109256744385,1.0290790796279907,10,17.832532252292346,tiger_cat,0.15945807099342346,red_fox,0.07888929545879364,grey_fox,0.0616273358464241,lynx,0.018245389685034752,tabby,0.01765756495296955,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6
1015,10160,1.075431227684021,1.0504893064498901,1.046621322631836,1.0390443801879883,10,17.19366461032586,tiger_cat,0.15397028625011444,red_fox,0.07857675105333328,grey_fox,0.061821289360523224,lynx,0.02020518109202385,Egyptian_cat,0.017404578626155853,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6
1016,10170,1.071044683456421,1.0489805936813354,1.0495054721832275,1.0215532779693604,10,20.441881263198173,tiger_cat,0.1504056751728058,red_fox,0.0793660432100296,grey_fox,0.06148603558540344,lynx,0.02105310931801796,Egyptian_cat,0.017746612429618835,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6
1017,10180,1.0875601768493652,1.0552935600280762,1.0517219305038452,1.0355942249298096,10,19.882092596436987,tiger_cat,0.15974168479442596,red_fox,0.07216926664113998,grey_fox,0.058948270976543427,lynx,0.022600414231419563,tabby,0.01828497275710106,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6
1018,10190,1.0925942659378052,1.0625401735305786,1.0554440021514893,1.0376782417297363,10,18.96473667365574,tiger_cat,0.17390108108520508,red_fox,0.08126437664031982,grey_fox,0.06044517457485199,lynx,0.023051349446177483,tabby,0.018721409142017365,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6
1019,10200,1.099739670753479,1.068160057067871,1.0647430419921875,1.046257495880127,10,19.51815272192755,tiger_cat,0.17719176411628723,red_fox,0.0774504765868187,grey_fox,0.06103762611746788,lynx,0.023239973932504654,Egyptian_cat,0.0189865380525589,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6
1020,10210,1.0918949842453003,1.0744608640670776,1.0807437896728516,1.0493943691253662,10,19.307172212201035,tiger_cat,0.1739840805530548,red_fox,0.08207160234451294,grey_fox,0.06200077384710312,lynx,0.02281947061419487,tabby,0.018560726195573807,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6
