Generation,Fitness function uses,Best fitness,Average fitness,Median fitness,Worst Fitness,Population size,Std Population,Predicted class 1,Probability 1,Predicted class 2,Probability 2,Predicted class 3,Probability 3,Predicted class 4,Probability 4,Predicted class 5,Probability 5,crossover_function,selection_function,tournament_size,mutation_function,bounded_mutation_function,mutation_rate,mutation_variance,classes_to_avoid,max_change
39,4000,0.34267038106918335,0.30196860432624817,0.2980358600616455,0.270893394947052,100,54.0673094138419,espresso,0.6607474088668823,cup,0.05959315970540047,plate,0.008644661866128445,coffeepot,0.008447211235761642,chocolate_sauce,0.0034122790675610304,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
40,4100,0.3529714345932007,0.3087455630302429,0.30714234709739685,0.2743561863899231,100,54.17022140638918,espresso,0.6505759358406067,cup,0.054013442248106,plate,0.008754626847803593,coffeepot,0.008494598791003227,chocolate_sauce,0.0035618541296571493,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
41,4200,0.35998010635375977,0.3193434476852417,0.3189471364021301,0.2863032817840576,100,53.74784049357397,espresso,0.6437968015670776,cup,0.057976122945547104,plate,0.009341557510197163,coffeepot,0.007810949347913265,chocolate_sauce,0.0038153808563947678,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
42,4300,0.37031394243240356,0.3280071020126343,0.3279302716255188,0.2949489951133728,100,50.5097719123044,espresso,0.6337447166442871,cup,0.05844326317310333,plate,0.01061652135103941,coffeepot,0.008982022292912006,chocolate_sauce,0.004029909148812294,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
43,4400,0.3825167417526245,0.33463507890701294,0.3334668278694153,0.29752105474472046,100,46.649800053313896,espresso,0.6213934421539307,cup,0.0675385445356369,coffeepot,0.009485442191362381,plate,0.009236161597073078,chocolate_sauce,0.0038830069825053215,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
44,4500,0.38071632385253906,0.34304580092430115,0.34061941504478455,0.2965046167373657,100,44.24933205149762,espresso,0.6234864592552185,cup,0.06299653649330139,plate,0.009492844343185425,coffeepot,0.00747639499604702,chocolate_sauce,0.004171416163444519,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
45,4600,0.39171141386032104,0.35193580389022827,0.35310739278793335,0.30645567178726196,100,39.6529399883809,espresso,0.6121354103088379,cup,0.06602830439805984,plate,0.010069413110613823,coffeepot,0.008139259181916714,chocolate_sauce,0.0038781326729804277,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
46,4700,0.3933315873146057,0.3573022484779358,0.35515156388282776,0.32732468843460083,100,38.83464587468487,espresso,0.6104419827461243,cup,0.06975027173757553,plate,0.008999542333185673,coffeepot,0.008062806911766529,eggnog,0.0037822029553353786,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
47,4800,0.3998842239379883,0.36618414521217346,0.36685317754745483,0.31385916471481323,100,36.6940354852742,espresso,0.6037692427635193,cup,0.07784110307693481,plate,0.009551516734063625,coffeepot,0.008394281379878521,chocolate_sauce,0.003680819645524025,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
48,4900,0.41731947660446167,0.37135449051856995,0.3710700571537018,0.3397347927093506,100,35.83846588592335,espresso,0.5869925022125244,cup,0.06982787698507309,plate,0.011217215098440647,coffeepot,0.009207128547132015,wooden_spoon,0.0044047534465789795,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
49,5000,0.41748636960983276,0.3791108727455139,0.3789306581020355,0.34429359436035156,100,36.98894273686214,espresso,0.5870001316070557,cup,0.06334451586008072,plate,0.009739832952618599,coffeepot,0.007669165264815092,chocolate_sauce,0.004471218213438988,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
50,5100,0.43034011125564575,0.39097046852111816,0.39024463295936584,0.3495991826057434,100,38.08127228552969,espresso,0.5752755999565125,cup,0.0705186203122139,plate,0.010476676747202873,coffeepot,0.008026731200516224,wooden_spoon,0.005622629076242447,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
51,5200,0.43286585807800293,0.3972160816192627,0.3968653678894043,0.3532111644744873,100,38.27867054455275,espresso,0.5711555480957031,cup,0.06794460862874985,plate,0.010369537398219109,coffeepot,0.00927988812327385,chocolate_sauce,0.004022050648927689,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
52,5300,0.43938082456588745,0.40773069858551025,0.40960603952407837,0.36889851093292236,100,38.389148453768705,espresso,0.5659076571464539,cup,0.07500265538692474,plate,0.010528563521802425,coffeepot,0.009675581008195877,wooden_spoon,0.005332820117473602,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
53,5400,0.4673565626144409,0.4171295166015625,0.4177926778793335,0.3785451650619507,100,37.831149806933084,espresso,0.537160336971283,cup,0.0757482722401619,plate,0.012387732975184917,coffeepot,0.009279172867536545,chocolate_sauce,0.00447864318266511,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
54,5500,0.4639672636985779,0.4249596893787384,0.4226497709751129,0.3594040274620056,100,37.850745972621915,espresso,0.5410051345825195,cup,0.07106585055589676,plate,0.011723538860678673,coffeepot,0.00916269887238741,wooden_spoon,0.00502052903175354,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
55,5600,0.48591023683547974,0.43088749051094055,0.42982423305511475,0.400806188583374,100,37.738896131802626,espresso,0.5203180313110352,cup,0.07161028683185577,plate,0.013890993781387806,coffeepot,0.010295679792761803,wooden_spoon,0.006233202293515205,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
56,5700,0.4899490475654602,0.43802791833877563,0.4356864392757416,0.4008563160896301,100,38.399846185639,espresso,0.515658438205719,cup,0.08300598710775375,plate,0.013537228107452393,coffeepot,0.009857394732534885,wooden_spoon,0.005570303648710251,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
57,5800,0.4904899597167969,0.4457968771457672,0.4466845691204071,0.40041255950927734,100,39.528586234335755,espresso,0.5161572694778442,cup,0.06962110847234726,plate,0.013494985178112984,coffeepot,0.009777108207345009,wooden_spoon,0.006689675152301788,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
58,5900,0.48697376251220703,0.45330485701560974,0.4551122188568115,0.40800154209136963,100,39.32563902588118,espresso,0.5184409618377686,cup,0.07469028979539871,plate,0.01478891633450985,coffeepot,0.009792722761631012,chocolate_sauce,0.005437350831925869,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
59,6000,0.5022991895675659,0.46129462122917175,0.4613895118236542,0.4230096936225891,100,39.347328817628075,espresso,0.5035912990570068,cup,0.09087805449962616,plate,0.015878159552812576,coffeepot,0.010736251249909401,wooden_spoon,0.005920883733779192,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
60,6100,0.49644380807876587,0.46319133043289185,0.4620961546897888,0.4207592010498047,100,37.8225827198737,espresso,0.5092150568962097,cup,0.08947926014661789,plate,0.01504518836736679,coffeepot,0.010281169787049294,wooden_spoon,0.005624318029731512,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
