Generation,Fitness function uses,Best fitness,Average fitness,Median fitness,Worst Fitness,Population size,Std Population,Predicted class 1,Probability 1,Predicted class 2,Probability 2,Predicted class 3,Probability 3,Predicted class 4,Probability 4,Predicted class 5,Probability 5,crossover_function,selection_function,tournament_size,mutation_function,bounded_mutation_function,mutation_rate,mutation_variance,classes_to_avoid,max_change
30,1240,0.24090152978897095,0.2152385264635086,0.21612703800201416,0.18903350830078125,40,33.2802181756568,espresso,0.7620729804039001,cup,0.037467390298843384,plate,0.009392914362251759,coffeepot,0.006372636184096336,bagel,0.002929552923887968,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
31,1280,0.23713135719299316,0.22200436890125275,0.22225698828697205,0.20175033807754517,40,31.25376721504301,espresso,0.7657111287117004,cup,0.036302123218774796,plate,0.00946944672614336,coffeepot,0.006244511343538761,bagel,0.00287265470251441,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
32,1320,0.24775153398513794,0.22575688362121582,0.22514492273330688,0.20538544654846191,40,30.8077817496725,espresso,0.755157470703125,cup,0.03819959610700607,plate,0.00979691557586193,coffeepot,0.006296022329479456,bagel,0.0029317080043256283,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
33,1360,0.25644761323928833,0.23103360831737518,0.23190635442733765,0.20600587129592896,40,30.985128784789104,espresso,0.746853768825531,cup,0.038934558629989624,plate,0.009240971878170967,coffeepot,0.006541098468005657,bagel,0.003321582218632102,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
34,1400,0.25632137060165405,0.23278658092021942,0.23138198256492615,0.20800209045410156,40,32.379422994527374,espresso,0.7469706535339355,cup,0.03907258063554764,plate,0.009506387636065483,coffeepot,0.006100871134549379,bagel,0.0033069548662751913,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
35,1440,0.2570365071296692,0.2377866804599762,0.23861056566238403,0.20741522312164307,40,32.04898024592681,espresso,0.746265709400177,cup,0.038823455572128296,plate,0.009449615143239498,coffeepot,0.006572945974767208,bagel,0.003302693134173751,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
36,1480,0.2612422704696655,0.24113698303699493,0.2414570152759552,0.21952056884765625,40,30.336313911862288,espresso,0.7421546578407288,cup,0.0386619046330452,plate,0.009697116911411285,coffeepot,0.006214413791894913,bagel,0.0033570383675396442,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
37,1520,0.2655206322669983,0.24460485577583313,0.2435285449028015,0.22102415561676025,40,31.086023957468335,espresso,0.7379505038261414,cup,0.03768627345561981,plate,0.010768843814730644,coffeepot,0.006735243368893862,bagel,0.0034609842114150524,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
38,1560,0.27128076553344727,0.2518062889575958,0.2518916428089142,0.22912079095840454,40,32.26335270368532,espresso,0.7321022748947144,cup,0.03923746943473816,plate,0.009631399996578693,coffeepot,0.006479278206825256,bagel,0.0033935345709323883,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
39,1600,0.27782928943634033,0.25324374437332153,0.2509377896785736,0.23002088069915771,40,33.47565657183235,espresso,0.7254388332366943,cup,0.044858627021312714,plate,0.010683011263608932,coffeepot,0.006104817148298025,bagel,0.0032927929423749447,OnePointCrossover,TournamentSelection,4,Projection,UniformIntegerMutation,0.05,6,5,15
