Generation,Fitness function uses,Best fitness,Average fitness,Median fitness,Worst Fitness,Population size,Std Population,Predicted class 1,Probability 1,Predicted class 2,Probability 2,Predicted class 3,Probability 3,Predicted class 4,Probability 4,Predicted class 5,Probability 5,crossover_function,selection_function,tournament_size,mutation_function,mutation_rate,mutation_variance,classes_to_avoid,max_change
50,3570,0.39397722482681274,0.3671245574951172,0.3684035539627075,0.3319191336631775,70,35.2687866270086,espresso,0.6122933030128479,cup,0.051504138857126236,plate,0.012791025452315807,coffeepot,0.007069605868309736,wooden_spoon,0.006282730959355831,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6,5,15
51,3640,0.3974043130874634,0.37438514828681946,0.37407946586608887,0.3431209325790405,70,35.49066433146685,espresso,0.6090596914291382,cup,0.05205585062503815,plate,0.014051576144993305,coffeepot,0.00744432071223855,wooden_spoon,0.006502638570964336,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6,5,15
52,3710,0.4131830930709839,0.3790690302848816,0.3784358501434326,0.35581082105636597,70,36.213956924159305,espresso,0.5928542017936707,cup,0.053560350090265274,plate,0.012654534541070461,coffeepot,0.00798147264868021,wooden_spoon,0.006057984195649624,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6,5,15
53,3780,0.4202461242675781,0.3836546540260315,0.3848247230052948,0.3536861538887024,70,37.347379098448016,espresso,0.5869251489639282,cup,0.060326140373945236,plate,0.013818757608532906,wooden_spoon,0.0071589103899896145,coffeepot,0.0071164448745548725,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6,5,15
54,3850,0.4177212715148926,0.38890406489372253,0.3867413103580475,0.3551252484321594,70,36.798700732281354,espresso,0.5893219113349915,cup,0.05428145453333855,plate,0.013408571481704712,wooden_spoon,0.007032128982245922,coffeepot,0.006250259932130575,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6,5,15
55,3920,0.4251266121864319,0.3926430344581604,0.3926234543323517,0.3557469844818115,70,37.73789827037136,espresso,0.582863986492157,cup,0.04966773837804794,plate,0.015020701102912426,wooden_spoon,0.008011503145098686,chocolate_sauce,0.007012447342276573,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6,5,15
56,3990,0.42212992906570435,0.3950004577636719,0.3959708511829376,0.3521738648414612,70,37.9482972248875,espresso,0.5863010883331299,cup,0.05078462138772011,plate,0.014943106099963188,wooden_spoon,0.008446859195828438,chocolate_sauce,0.0066485037095844746,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6,5,15
57,4060,0.4411974549293518,0.39989563822746277,0.40081822872161865,0.35822099447250366,70,37.80916338551701,espresso,0.5678370594978333,cup,0.061693932861089706,plate,0.016111446544528008,wooden_spoon,0.009006323292851448,coffeepot,0.007177194580435753,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6,5,15
58,4130,0.44503939151763916,0.407106876373291,0.40361282229423523,0.37770897150039673,70,38.43480945753772,espresso,0.5635316967964172,cup,0.061025287955999374,plate,0.014494174160063267,wooden_spoon,0.008636653423309326,coffeepot,0.008079349994659424,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6,5,15
59,4200,0.459486722946167,0.41444525122642517,0.4143621325492859,0.34966737031936646,70,39.48296825311592,espresso,0.5488124489784241,cup,0.06166740134358406,plate,0.014436866156756878,coffeepot,0.008471277542412281,wooden_spoon,0.008335827849805355,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6,5,15
60,4270,0.45833855867385864,0.423669695854187,0.421753466129303,0.38248199224472046,70,38.92637192619925,espresso,0.5505456328392029,cup,0.061899539083242416,plate,0.015237417072057724,wooden_spoon,0.00892022904008627,coffeepot,0.00852117221802473,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6,5,15
61,4340,0.4583766460418701,0.42624086141586304,0.42718470096588135,0.39201468229293823,70,39.44040237552187,espresso,0.5508049726486206,cup,0.07353172451257706,plate,0.016578376293182373,coffeepot,0.009636465460062027,wooden_spoon,0.009185762144625187,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6,5,15
62,4410,0.45839357376098633,0.42845627665519714,0.43206632137298584,0.387475848197937,70,40.067846911692584,espresso,0.5502495765686035,cup,0.06529728323221207,plate,0.016894252970814705,coffeepot,0.008703552186489105,wooden_spoon,0.008678455837070942,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6,5,15
63,4480,0.47768014669418335,0.44147881865501404,0.44204360246658325,0.39342111349105835,70,40.674432499312886,espresso,0.5322992205619812,cup,0.07025840878486633,plate,0.014957839623093605,wooden_spoon,0.009981051087379456,coffeepot,0.007348503451794386,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6,5,15
64,4550,0.4907633662223816,0.4503379464149475,0.45044103264808655,0.40672576427459717,70,41.99050925519889,espresso,0.5196627378463745,cup,0.06512770801782608,plate,0.018657540902495384,wooden_spoon,0.010475626215338707,coffeepot,0.007404380477964878,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6,5,15
65,4620,0.4887164831161499,0.454856276512146,0.4572353661060333,0.4090045690536499,70,41.55478364607418,espresso,0.5211716294288635,cup,0.06937691569328308,plate,0.01654074154794216,wooden_spoon,0.00988366175442934,coffeepot,0.006978763733059168,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6,5,15
66,4690,0.5017281770706177,0.45488736033439636,0.4531265199184418,0.40931421518325806,70,40.16002703518914,espresso,0.5086566805839539,cup,0.07159789651632309,plate,0.015955571085214615,wooden_spoon,0.010394668206572533,chocolate_sauce,0.006880220957100391,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6,5,15
67,4760,0.49505800008773804,0.46099743247032166,0.4614292085170746,0.41754013299942017,70,38.2350197152992,espresso,0.5163277387619019,cup,0.07336292415857315,plate,0.017606815323233604,wooden_spoon,0.01142052561044693,coffeepot,0.007297626696527004,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6,5,15
68,4830,0.5080700516700745,0.46841201186180115,0.4688410460948944,0.4224777817726135,70,37.01816766483821,espresso,0.5024219155311584,cup,0.08270058780908585,plate,0.017361637204885483,wooden_spoon,0.010521640069782734,coffeepot,0.007692374289035797,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6,5,15
69,4900,0.5285685062408447,0.4740566909313202,0.47452062368392944,0.4126909375190735,70,36.72487731971032,espresso,0.4855969250202179,cup,0.06727387756109238,plate,0.017840325832366943,wooden_spoon,0.014132392592728138,coffeepot,0.007954553700983524,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6,5,15
70,4970,0.5368534326553345,0.48303931951522827,0.478188157081604,0.4376952052116394,70,37.235588826577825,espresso,0.4806322455406189,cup,0.06837623566389084,plate,0.020459095016121864,wooden_spoon,0.01749577932059765,chocolate_sauce,0.00784335657954216,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6,5,15
71,5040,0.5384972095489502,0.49781331419944763,0.4958803951740265,0.44100314378738403,70,35.3177458491948,espresso,0.47581279277801514,cup,0.07014772295951843,plate,0.01882510632276535,wooden_spoon,0.014329503290355206,coffeepot,0.00716794840991497,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6,5,15
72,5110,0.552973747253418,0.5129883885383606,0.5149092674255371,0.46989721059799194,70,35.05271284747476,espresso,0.4607055187225342,cup,0.08009442687034607,plate,0.018381495028734207,wooden_spoon,0.01372684258967638,chocolate_sauce,0.00759262777864933,OnePointCrossover,TournamentSelection,4,ClippedUniformIntegerMutation,0.05,6,5,15
