Generation,Fitness function uses,Best fitness,Average fitness,Median fitness,Worst Fitness,Population size,Std Population,Predicted class 1,Probability 1,Predicted class 2,Probability 2,Predicted class 3,Probability 3,Predicted class 4,Probability 4,Predicted class 5,Probability 5,crossover_function,selection_function,tournament_size,mutation_function,bounded_mutation_function,mutation_rate,mutation_variance,classes_to_avoid,max_change
198,7960,0.8919561505317688,0.8836843371391296,0.884155809879303,0.8749425411224365,40,37.254931528364075,espresso,0.11779700964689255,cup,0.11258534342050552,plate,0.0326404944062233,coffeepot,0.012889745645225048,eggnog,0.00975530594587326,OnePointCrossover,TournamentSelection,4,Conservatism,UniformIntegerMutation,0.05,6,5,15
199,8000,0.8919758796691895,0.8826302289962769,0.883701741695404,0.857119083404541,40,38.783083206802836,espresso,0.11722411215305328,cup,0.10348587483167648,plate,0.03399350866675377,coffeepot,0.012571483850479126,eggnog,0.009211895056068897,OnePointCrossover,TournamentSelection,4,Conservatism,UniformIntegerMutation,0.05,6,5,15
200,8040,0.8977418541908264,0.885158896446228,0.8850622177124023,0.8765088319778442,40,39.14093489382179,espresso,0.11217768490314484,cup,0.1093287318944931,plate,0.03172276169061661,coffeepot,0.0132917370647192,spatula,0.009907075203955173,OnePointCrossover,TournamentSelection,4,Conservatism,UniformIntegerMutation,0.05,6,5,15
201,8080,0.8988994359970093,0.8846902847290039,0.8850316405296326,0.8651747107505798,40,39.19034930999468,cup,0.11048667877912521,espresso,0.10741045325994492,plate,0.03444985672831535,coffeepot,0.01369071938097477,butternut_squash,0.00937971007078886,OnePointCrossover,TournamentSelection,4,Conservatism,UniformIntegerMutation,0.05,6,5,15
202,8120,0.8988237380981445,0.8874083757400513,0.8880058526992798,0.868550181388855,40,38.941487076487256,cup,0.11105041205883026,espresso,0.10921770334243774,plate,0.03295828402042389,coffeepot,0.01359285693615675,butternut_squash,0.00988035649061203,OnePointCrossover,TournamentSelection,4,Conservatism,UniformIntegerMutation,0.05,6,5,15
203,8160,0.9036831855773926,0.8912086486816406,0.8908636569976807,0.8708258867263794,40,40.599960262449166,espresso,0.10741451382637024,cup,0.10134173184633255,plate,0.0297528225928545,coffeepot,0.011675992049276829,spatula,0.011099787428975105,OnePointCrossover,TournamentSelection,4,Conservatism,UniformIntegerMutation,0.05,6,5,15
204,8200,0.9028295278549194,0.8943597674369812,0.8955129384994507,0.8846714496612549,40,40.17462772534044,cup,0.10758683830499649,espresso,0.10146483033895493,plate,0.02924228087067604,coffeepot,0.012526817619800568,spatula,0.010423867963254452,OnePointCrossover,TournamentSelection,4,Conservatism,UniformIntegerMutation,0.05,6,5,15
205,8240,0.9017320275306702,0.8944412469863892,0.896591305732727,0.8779031038284302,40,40.480097835811776,espresso,0.10805808752775192,cup,0.10246042907238007,plate,0.035227932035923004,coffeepot,0.013242886401712894,butternut_squash,0.009815426543354988,OnePointCrossover,TournamentSelection,4,Conservatism,UniformIntegerMutation,0.05,6,5,15
206,8280,0.901658296585083,0.8952301144599915,0.8961881399154663,0.8818418979644775,40,41.90369735879234,espresso,0.10768598318099976,cup,0.09720493853092194,plate,0.03457934409379959,coffeepot,0.013153214938938618,spatula,0.009344392456114292,OnePointCrossover,TournamentSelection,4,Conservatism,UniformIntegerMutation,0.05,6,5,15
207,8320,0.9036775827407837,0.8963302373886108,0.8966730833053589,0.8837951421737671,40,42.37302534248118,espresso,0.10758315771818161,cup,0.1033044084906578,plate,0.0279399324208498,eggnog,0.01126135140657425,coffeepot,0.011191006749868393,OnePointCrossover,TournamentSelection,4,Conservatism,UniformIntegerMutation,0.05,6,5,15
208,8360,0.909327507019043,0.8968752026557922,0.8982040286064148,0.8844312429428101,40,43.220682098969135,espresso,0.10164079815149307,cup,0.09870736300945282,plate,0.02854873612523079,eggnog,0.010979454033076763,spatula,0.010885212570428848,OnePointCrossover,TournamentSelection,4,Conservatism,UniformIntegerMutation,0.05,6,5,15
209,8400,0.9081036448478699,0.8986625671386719,0.899311900138855,0.8856509327888489,40,41.95724492338132,espresso,0.10261867940425873,cup,0.09153519570827484,plate,0.026741648092865944,coffeepot,0.011029034852981567,eggnog,0.010744084604084492,OnePointCrossover,TournamentSelection,4,Conservatism,UniformIntegerMutation,0.05,6,5,15
210,8440,0.9099552631378174,0.8993002772331238,0.8986070156097412,0.8879742622375488,40,37.948724224722156,espresso,0.10175929218530655,cup,0.10003577917814255,plate,0.030779758468270302,spatula,0.01173804048448801,coffeepot,0.011475416831672192,OnePointCrossover,TournamentSelection,4,Conservatism,UniformIntegerMutation,0.05,6,5,15
211,8480,0.9094668030738831,0.9005525708198547,0.9004130363464355,0.8854509592056274,40,37.361037160895116,espresso,0.10243600606918335,cup,0.0975574180483818,plate,0.030090827494859695,spatula,0.011887870728969574,coffeepot,0.011251208372414112,OnePointCrossover,TournamentSelection,4,Conservatism,UniformIntegerMutation,0.05,6,5,15
212,8520,0.9119795560836792,0.9023072123527527,0.9027206897735596,0.8893644213676453,40,34.134349237499,espresso,0.0992116630077362,cup,0.09137073904275894,plate,0.026989679783582687,eggnog,0.011185718700289726,spatula,0.010943722911179066,OnePointCrossover,TournamentSelection,4,Conservatism,UniformIntegerMutation,0.05,6,5,15
213,8560,0.9137974381446838,0.903532862663269,0.903740644454956,0.8941565155982971,40,33.789753397423354,espresso,0.09906318038702011,cup,0.09712950885295868,plate,0.031148886308073997,wooden_spoon,0.01285533793270588,spatula,0.011647391133010387,OnePointCrossover,TournamentSelection,4,Conservatism,UniformIntegerMutation,0.05,6,5,15
214,8600,0.913317084312439,0.9041186571121216,0.9035351276397705,0.8955702781677246,40,33.48681200437767,espresso,0.09754910320043564,cup,0.09234561026096344,plate,0.03094116970896721,spatula,0.010859238915145397,coffeepot,0.010520445182919502,OnePointCrossover,TournamentSelection,4,Conservatism,UniformIntegerMutation,0.05,6,5,15
215,8640,0.912427544593811,0.9047130346298218,0.905490517616272,0.8929877877235413,40,30.72704387866047,espresso,0.09962720423936844,cup,0.0925578624010086,plate,0.030437052249908447,spatula,0.012060428969562054,wooden_spoon,0.010797488503158092,OnePointCrossover,TournamentSelection,4,Conservatism,UniformIntegerMutation,0.05,6,5,15
216,8680,0.9152140021324158,0.9053152203559875,0.9060492515563965,0.8989113569259644,40,31.530082946694314,espresso,0.09728232026100159,cup,0.09325040876865387,plate,0.03354174643754959,spatula,0.012493775226175785,butternut_squash,0.010828500613570213,OnePointCrossover,TournamentSelection,4,Conservatism,UniformIntegerMutation,0.05,6,5,15
217,8720,0.9152871370315552,0.9058746099472046,0.9053226709365845,0.8975949883460999,40,34.369578541465486,espresso,0.09780745208263397,cup,0.089536651968956,plate,0.032219551503658295,spatula,0.013102274388074875,wooden_spoon,0.011675776913762093,OnePointCrossover,TournamentSelection,4,Conservatism,UniformIntegerMutation,0.05,6,5,15
218,8760,0.9139686822891235,0.9064308404922485,0.9067568778991699,0.8967506885528564,40,33.970514785745095,espresso,0.09823063015937805,cup,0.09122388064861298,plate,0.032502055168151855,spatula,0.012188933789730072,wooden_spoon,0.010955510661005974,OnePointCrossover,TournamentSelection,4,Conservatism,UniformIntegerMutation,0.05,6,5,15
219,8800,0.9206876158714294,0.9075691103935242,0.9071578979492188,0.8968014717102051,40,31.450961062705023,cup,0.09347761422395706,espresso,0.09247367084026337,plate,0.035478342324495316,spatula,0.014161383733153343,wooden_spoon,0.012164202518761158,OnePointCrossover,TournamentSelection,4,Conservatism,UniformIntegerMutation,0.05,6,5,15
220,8840,0.9181084036827087,0.9085672497749329,0.908122718334198,0.8971638083457947,40,31.851779708342526,cup,0.0938352569937706,espresso,0.09278689324855804,plate,0.02762080542743206,eggnog,0.011932246387004852,spatula,0.011651640757918358,OnePointCrossover,TournamentSelection,4,Conservatism,UniformIntegerMutation,0.05,6,5,15
221,8880,0.9225619435310364,0.9111129641532898,0.9130010604858398,0.8968483805656433,40,32.80945181576615,cup,0.09298177808523178,espresso,0.09078672528266907,plate,0.03397413715720177,wooden_spoon,0.01555601041764021,spatula,0.015450752340257168,OnePointCrossover,TournamentSelection,4,Conservatism,UniformIntegerMutation,0.05,6,5,15
222,8920,0.9249933958053589,0.9140661358833313,0.9141181707382202,0.9056914448738098,40,32.17216507253815,cup,0.09040830284357071,espresso,0.09001495689153671,plate,0.03667793795466423,spatula,0.01540369912981987,wooden_spoon,0.015220139175653458,OnePointCrossover,TournamentSelection,4,Conservatism,UniformIntegerMutation,0.05,6,5,15
223,8960,0.9262581467628479,0.9167138338088989,0.9158927202224731,0.9075477123260498,40,29.170286140517117,cup,0.08944255113601685,espresso,0.08671507984399796,plate,0.0376468263566494,wooden_spoon,0.01568463258445263,spatula,0.015136996284127235,OnePointCrossover,TournamentSelection,4,Conservatism,UniformIntegerMutation,0.05,6,5,15
224,9000,0.9256988167762756,0.9187831878662109,0.9189443588256836,0.9093364477157593,40,29.360703288096982,cup,0.08925729990005493,espresso,0.0890377014875412,plate,0.0379888154566288,wooden_spoon,0.014943458139896393,spatula,0.014915935695171356,OnePointCrossover,TournamentSelection,4,Conservatism,UniformIntegerMutation,0.05,6,5,15
225,9040,0.9279130697250366,0.9185657501220703,0.9182394742965698,0.9055304527282715,40,29.62542168934197,espresso,0.08810064941644669,cup,0.08714070171117783,plate,0.03899455815553665,wooden_spoon,0.01602202095091343,spatula,0.014780071564018726,OnePointCrossover,TournamentSelection,4,Conservatism,UniformIntegerMutation,0.05,6,5,15
226,9080,0.9278043508529663,0.9200994372367859,0.9203082919120789,0.9118375182151794,40,30.068039030370905,cup,0.08929084241390228,espresso,0.08826357871294022,plate,0.039954934269189835,wooden_spoon,0.017092008143663406,spatula,0.01496750395745039,OnePointCrossover,TournamentSelection,4,Conservatism,UniformIntegerMutation,0.05,6,5,15
227,9120,0.927187442779541,0.9203003644943237,0.9195221662521362,0.9130190014839172,40,30.654351211971896,cup,0.08794910460710526,espresso,0.08742573857307434,plate,0.036048706620931625,wooden_spoon,0.01512420829385519,spatula,0.015030402690172195,OnePointCrossover,TournamentSelection,4,Conservatism,UniformIntegerMutation,0.05,6,5,15
228,9160,0.9294536709785461,0.9205384254455566,0.9212229251861572,0.9051253795623779,40,32.07550553723395,cup,0.08744213730096817,espresso,0.08629229664802551,plate,0.03620779514312744,spatula,0.01691352389752865,wooden_spoon,0.016563843935728073,OnePointCrossover,TournamentSelection,4,Conservatism,UniformIntegerMutation,0.05,6,5,15
