Generation,Fitness function evaluations,Best fitness,Average fitness,Median fitness,Worst Fitness,Std Population,Predicted class 1,Probability 1,Predicted class 2,Probability 2,Predicted class 3,Probability 3,Predicted class 4,Probability 4,Predicted class 5,Probability 5
425,12780,1.365767240524292,1.30808687210083,1.3074977397918701,1.2749154567718506,30.215829301874773,tiger_cat,0.4016765356063843,red_fox,0.035953931510448456,lynx,0.030845314264297485,Egyptian_cat,0.028188124299049377,grey_fox,0.027306852862238884
426,12810,1.370736837387085,1.3150783777236938,1.316200852394104,1.280604600906372,30.466814734206032,tiger_cat,0.4058094024658203,red_fox,0.03505098074674606,lynx,0.03254258260130882,Egyptian_cat,0.029760276898741722,grey_fox,0.026259321719408035
427,12840,1.3730241060256958,1.329590082168579,1.3293466567993164,1.2825508117675781,28.364147725329154,tiger_cat,0.4088672399520874,red_fox,0.03592900186777115,lynx,0.03177362680435181,Egyptian_cat,0.029323600232601166,grey_fox,0.026460960507392883
428,12870,1.365311861038208,1.3327287435531616,1.3300600051879883,1.2947137355804443,29.077949093555144,tiger_cat,0.40094494819641113,red_fox,0.03566271811723709,lynx,0.03542856127023697,Egyptian_cat,0.031076699495315552,grey_fox,0.0253829937428236
429,12900,1.3651484251022339,1.3344303369522095,1.3312885761260986,1.3049514293670654,27.629824094879332,tiger_cat,0.3995777666568756,red_fox,0.034457746893167496,lynx,0.03120369464159012,Egyptian_cat,0.029195381328463554,grey_fox,0.0258337389677763
430,12930,1.3646392822265625,1.3265342712402344,1.3280189037322998,1.285387396812439,29.395053993238196,tiger_cat,0.40063807368278503,red_fox,0.03599963337182999,lynx,0.03315050154924393,Egyptian_cat,0.027324853464961052,tabby,0.024959402158856392
431,12960,1.3727320432662964,1.3314889669418335,1.3298916816711426,1.2938861846923828,29.0844697211338,tiger_cat,0.40713611245155334,red_fox,0.0343666598200798,lynx,0.03268969804048538,Egyptian_cat,0.027367927134037018,tabby,0.024991942569613457
432,12990,1.373486042022705,1.329621434211731,1.3299665451049805,1.2874414920806885,30.849826319285587,tiger_cat,0.4059223532676697,lynx,0.03438255190849304,red_fox,0.032446637749671936,Egyptian_cat,0.026880167424678802,tabby,0.025298401713371277
433,13020,1.387195348739624,1.329953670501709,1.3282592296600342,1.2799673080444336,33.06084527543832,tiger_cat,0.42042529582977295,red_fox,0.033224090933799744,lynx,0.03113931603729725,Egyptian_cat,0.025874122977256775,tabby,0.02542952261865139
434,13050,1.3609285354614258,1.3318514823913574,1.334246039390564,1.2665868997573853,32.86729452885604,tiger_cat,0.4002501666545868,red_fox,0.03930796682834625,lynx,0.0355137400329113,Egyptian_cat,0.03225702419877052,tabby,0.025140728801488876
435,13080,1.3582390546798706,1.3258143663406372,1.322540521621704,1.3006253242492676,32.65510364680745,tiger_cat,0.3968276381492615,red_fox,0.03867144137620926,lynx,0.029190165922045708,Egyptian_cat,0.0271723885089159,grey_fox,0.024883048608899117
436,13110,1.3635579347610474,1.3239775896072388,1.3250019550323486,1.2590268850326538,33.23388844340273,tiger_cat,0.40114545822143555,red_fox,0.03751154989004135,lynx,0.0364222526550293,Egyptian_cat,0.03135352581739426,tabby,0.02627595327794552
437,13140,1.3745856285095215,1.3316696882247925,1.3297659158706665,1.2994804382324219,34.601890892238224,tiger_cat,0.4067577123641968,red_fox,0.0321505106985569,lynx,0.028236880898475647,Egyptian_cat,0.025582607835531235,tabby,0.02540777623653412
438,13170,1.3692610263824463,1.335507869720459,1.335003137588501,1.3131840229034424,34.82538291364182,tiger_cat,0.4080858528614044,red_fox,0.038837794214487076,lynx,0.03584129363298416,Egyptian_cat,0.031115425750613213,tabby,0.02716801129281521
439,13200,1.3695241212844849,1.3333569765090942,1.3341426849365234,1.2701467275619507,31.931036593896987,tiger_cat,0.40359991788864136,red_fox,0.03403549641370773,lynx,0.028881115838885307,Egyptian_cat,0.02549847401678562,tabby,0.025132223963737488
440,13230,1.3553881645202637,1.3303592205047607,1.3337324857711792,1.2888773679733276,31.61309171621366,tiger_cat,0.39362919330596924,red_fox,0.03829583898186684,lynx,0.028469175100326538,Egyptian_cat,0.025273336097598076,grey_fox,0.02520335465669632
441,13260,1.37045156955719,1.3233070373535156,1.3255958557128906,1.2679730653762817,29.3792031999709,tiger_cat,0.408426970243454,red_fox,0.03794633597135544,lynx,0.02750454656779766,Egyptian_cat,0.02575889602303505,tabby,0.024374229833483696
442,13290,1.3812839984893799,1.3273329734802246,1.3251298666000366,1.2831140756607056,28.157397786724488,tiger_cat,0.41848987340927124,lynx,0.03893306851387024,red_fox,0.03716762736439705,Egyptian_cat,0.03557068482041359,tabby,0.024229692295193672
443,13320,1.3544557094573975,1.3308765888214111,1.3326705694198608,1.3048001527786255,29.76857867878966,tiger_cat,0.39152440428733826,red_fox,0.037083495408296585,lynx,0.03315991163253784,Egyptian_cat,0.030966252088546753,tabby,0.027079759165644646
444,13350,1.365973711013794,1.3283787965774536,1.3278849124908447,1.3034077882766724,31.740932520246854,tiger_cat,0.39902186393737793,red_fox,0.03303084895014763,lynx,0.031419578939676285,Egyptian_cat,0.02581300400197506,tabby,0.02521533891558647
